nombre,poblacion,superficie,continente
Argentina,45376763,2780400,America
Japon,125800000,377975,Asia
Brasil,213993437,8515767,America
Alemania,83149300,357022,Europa
Canada,38005238,9984670,America
China,1412000000,9596960,Asia
Egipto,102334404,1002450,Africa
Francia,67391582,640679,Europa
Australia,25687041,7692024,Oceania
Mexico,128932753,1964375,America
Nigeria,206139589,923768,Africa
India,1380004385,3287263,Asia
Italia,60461826,301340,Europa
Sudafrica,59308690,1221037,Africa
Nueva Zelanda,4822233,270467,Oceania
